code,year,age,asfr,source
ALB,1967,14,5.1e-4,hfc
ALB,1967,15,0.00393,hfc
ALB,1967,16,0.01357,hfc
ALB,1967,17,0.03486,hfc
ALB,1967,18,0.06931,hfc
ALB,1967,19,0.11389,hfc
ALB,1967,20,0.1623,hfc
ALB,1967,21,0.20786,hfc
ALB,1967,22,0.24563,hfc
ALB,1967,23,0.27317,hfc
ALB,1967,24,0.29012,hfc
ALB,1967,25,0.29756,hfc
ALB,1967,26,0.29718,hfc
ALB,1967,27,0.29085,hfc
ALB,1967,28,0.28026,hfc
ALB,1967,29,0.26682,hfc
ALB,1967,30,0.25162,hfc
ALB,1967,31,0.23545,hfc
ALB,1967,32,0.21888,hfc
ALB,1967,33,0.20229,hfc
ALB,1967,34,0.18591,hfc
ALB,1967,35,0.16991,hfc
ALB,1967,36,0.15438,hfc
ALB,1967,37,0.13941,hfc
ALB,1967,38,0.12503,hfc
ALB,1967,39,0.1113,hfc
ALB,1967,40,0.09827,hfc
ALB,1967,41,0.086,hfc
ALB,1967,42,0.07453,hfc
ALB,1967,43,0.06391,hfc
ALB,1967,44,0.05419,hfc
ALB,1967,45,0.04539,hfc
ALB,1967,46,0.03754,hfc
ALB,1967,47,0.03062,hfc
ALB,1967,48,0.02462,hfc
ALB,1967,49,0.03814,hfc
ALB,1967,50,0.03839,hfc
ALB,1968,14,5e-5,hfc
ALB,1968,15,6.5e-4,hfc
ALB,1968,16,0.00661,hfc
ALB,1968,17,0.02937,hfc
ALB,1968,18,0.0773,hfc
ALB,1968,19,0.14333,hfc
ALB,1968,20,0.21008,hfc
ALB,1968,21,0.26284,hfc
ALB,1968,22,0.29556,hfc
ALB,1968,23,0.30942,hfc
ALB,1968,24,0.30898,hfc
ALB,1968,25,0.29935,hfc
ALB,1968,26,0.28478,hfc
ALB,1968,27,0.26832,hfc
ALB,1968,28,0.25187,hfc
ALB,1968,29,0.23647,hfc
ALB,1968,30,0.22254,hfc
ALB,1968,31,0.2101,hfc
ALB,1968,32,0.19892,hfc
ALB,1968,33,0.1886,hfc
ALB,1968,34,0.17869,hfc
ALB,1968,35,0.16873,hfc
ALB,1968,36,0.15832,hfc
ALB,1968,37,0.14716,hfc
ALB,1968,38,0.13508,hfc
ALB,1968,39,0.12209,hfc
ALB,1968,40,0.10833,hfc
ALB,1968,41,0.09414,hfc
ALB,1968,42,0.07991,hfc
ALB,1968,43,0.06612,hfc
ALB,1968,44,0.05322,hfc
ALB,1968,45,0.04159,hfc
ALB,1968,46,0.0315,hfc
ALB,1968,47,0.02309,hfc
ALB,1968,48,0.01635,hfc
ALB,1968,49,0.0168,hfc
ALB,1968,50,0.0127,hfc
ALB,1969,14,0.00369,hfc
ALB,1969,15,0.01489,hfc
ALB,1969,16,0.01496,hfc
ALB,1969,17,0.03331,hfc
ALB,1969,18,0.06621,hfc
ALB,1969,19,0.11623,hfc
ALB,1969,20,0.17894,hfc
ALB,1969,21,0.24319,hfc
ALB,1969,22,0.2964,hfc
ALB,1969,23,0.33046,hfc
ALB,1969,24,0.34394,hfc
ALB,1969,25,0.3405,hfc
ALB,1969,26,0.32598,hfc
ALB,1969,27,0.30603,hfc
ALB,1969,28,0.28493,hfc
ALB,1969,29,0.26539,hfc
ALB,1969,30,0.24865,hfc
ALB,1969,31,0.23489,hfc
ALB,1969,32,0.22351,hfc
ALB,1969,33,0.21344,hfc
ALB,1969,34,0.2034,hfc
ALB,1969,35,0.19217,hfc
ALB,1969,36,0.17884,hfc
ALB,1969,37,0.16299,hfc
ALB,1969,38,0.14481,hfc
ALB,1969,39,0.125,hfc
ALB,1969,40,0.10465,hfc
ALB,1969,41,0.08493,hfc
ALB,1969,42,0.06686,hfc
ALB,1969,43,0.05113,hfc
ALB,1969,44,0.03806,hfc
ALB,1969,45,0.02759,hfc
ALB,1969,46,0.01944,hfc
ALB,1969,47,0.01316,hfc
ALB,1969,48,0.00822,hfc
ALB,1969,49,0.02005,hfc
ALB,1969,50,0.0282,hfc
ALB,1970,14,1e-5,hfc
ALB,1970,15,1.2e-4,hfc
ALB,1970,16,0.0025,hfc
ALB,1970,17,0.01655,hfc
ALB,1970,18,0.05509,hfc
ALB,1970,19,0.11714,hfc
ALB,1970,20,0.18595,hfc
ALB,1970,21,0.24373,hfc
ALB,1970,22,0.28184,hfc
ALB,1970,23,0.30041,hfc
ALB,1970,24,0.30399,hfc
ALB,1970,25,0.29795,hfc
ALB,1970,26,0.28675,hfc
ALB,1970,27,0.27346,hfc
ALB,1970,28,0.25992,hfc
ALB,1970,29,0.24698,hfc
ALB,1970,30,0.23489,hfc
ALB,1970,31,0.22347,hfc
ALB,1970,32,0.2123,hfc
ALB,1970,33,0.20092,hfc
ALB,1970,34,0.18889,hfc
ALB,1970,35,0.17588,hfc
ALB,1970,36,0.16174,hfc
ALB,1970,37,0.14651,hfc
ALB,1970,38,0.13045,hfc
ALB,1970,39,0.11395,hfc
ALB,1970,40,0.09752,hfc
ALB,1970,41,0.08168,hfc
ALB,1970,42,0.06691,hfc
ALB,1970,43,0.05359,hfc
ALB,1970,44,0.04197,hfc
ALB,1970,45,0.03215,hfc
ALB,1970,46,0.0241,hfc
ALB,1970,47,0.01769,hfc
ALB,1970,48,0.01273,hfc
ALB,1970,49,0.01502,hfc
ALB,1970,50,0.01288,hfc
ALB,1971,14,0,hfc
ALB,1971,15,0,hfc
ALB,1971,16,4.2e-4,hfc
ALB,1971,17,0.00801,hfc
ALB,1971,18,0.04312,hfc
ALB,1971,19,0.11229,hfc
ALB,1971,20,0.19156,hfc
ALB,1971,21,0.25511,hfc
ALB,1971,22,0.29383,hfc
ALB,1971,23,0.31097,hfc
ALB,1971,24,0.31356,hfc
ALB,1971,25,0.30779,hfc
ALB,1971,26,0.29785,hfc
ALB,1971,27,0.28608,hfc
ALB,1971,28,0.27362,hfc
ALB,1971,29,0.26085,hfc
ALB,1971,30,0.2478,hfc
ALB,1971,31,0.23438,hfc
ALB,1971,32,0.22046,hfc
ALB,1971,33,0.20601,hfc
ALB,1971,34,0.19103,hfc
ALB,1971,35,0.17561,hfc
ALB,1971,36,0.15986,hfc
ALB,1971,37,0.14394,hfc
ALB,1971,38,0.128,hfc
ALB,1971,39,0.1122,hfc
ALB,1971,40,0.09672,hfc
ALB,1971,41,0.08174,hfc
ALB,1971,42,0.06747,hfc
ALB,1971,43,0.05414,hfc
ALB,1971,44,0.04201,hfc
ALB,1971,45,0.03132,hfc
ALB,1971,46,0.02228,hfc
ALB,1971,47,0.01499,hfc
ALB,1971,48,0.00946,hfc
ALB,1971,49,0.00691,hfc
ALB,1971,50,0.00405,hfc
ALB,1972,14,2e-5,hfc
ALB,1972,15,1.4e-4,hfc
ALB,1972,16,0.00103,hfc
ALB,1972,17,0.00917,hfc
ALB,1972,18,0.04268,hfc
ALB,1972,19,0.10753,hfc
ALB,1972,20,0.18279,hfc
ALB,1972,21,0.24493,hfc
ALB,1972,22,0.28449,hfc
ALB,1972,23,0.30324,hfc
ALB,1972,24,0.30711,hfc
ALB,1972,25,0.30189,hfc
ALB,1972,26,0.29186,hfc
ALB,1972,27,0.27967,hfc
ALB,1972,28,0.26674,hfc
ALB,1972,29,0.25368,hfc
ALB,1972,30,0.24065,hfc
ALB,1972,31,0.22755,hfc
ALB,1972,32,0.21422,hfc
ALB,1972,33,0.20048,hfc
ALB,1972,34,0.18623,hfc
